优先级,建单月份,订单号,内部单号,客户,负责人,数量(件),单位,出厂日期,状态,链接
"P2-历史单(功能上线前)","2026-06","QM-20260621-001","1022938","巴拿马","小英","8640","件","2026-07-30","active","https://order.qimoactivewear.com/orders/5e58556b-6182-467b-a4be-45e086c7987f"
"P2-历史单(功能上线前)","2026-06","QM-20260618-013","1022946","年年旺","陈陈","12960","套","2026-07-30","active","https://order.qimoactivewear.com/orders/b6dce1cb-ce72-4217-9a5c-b09505736400"
"P2-历史单(功能上线前)","2026-06","QM-20260618-011","1022945","年年旺","陈陈","7200","套","2026-07-30","active","https://order.qimoactivewear.com/orders/0341ad10-0e25-4122-9a2c-fa4973135255"
"P2-历史单(功能上线前)","2026-06","QM-20260618-010","1022942","EHL","菁菁","612","件","2026-08-09","active","https://order.qimoactivewear.com/orders/1ecef1d9-d453-4288-8b4f-550beb4516e1"
"P2-历史单(功能上线前)","2026-06","QM-20260618-009","1022923","伊彤","王海莲","31530","件","2026-07-30","active","https://order.qimoactivewear.com/orders/4ac15b9f-56a9-417e-a567-a21ed88cdfa7"
"P2-历史单(功能上线前)","2026-06","QM-20260618-008","1022908","伊彤","王海莲","5400","件","2026-07-12","active","https://order.qimoactivewear.com/orders/f3429322-1c0a-4094-8d55-d6b432ae4ca6"
"P2-历史单(功能上线前)","2026-06","QM-20260618-007","1022943","EHL","菁菁","612","件","2026-08-09","active","https://order.qimoactivewear.com/orders/0761b464-2410-4718-a261-54cb14615bf0"
"P2-历史单(功能上线前)","2026-06","QM-20260618-004","1022941","EHL","菁菁","432","件","2026-08-09","active","https://order.qimoactivewear.com/orders/70696bf9-d7ca-4b50-ae64-97abf2579728"
"P2-历史单(功能上线前)","2026-06","QM-20260618-002","1022940","EHL","菁菁","432","件","2026-08-09","active","https://order.qimoactivewear.com/orders/dac7055c-2eeb-4e82-a799-ff5c1c0f0ff8"
"P2-历史单(功能上线前)","2026-06","QM-20260605-003","1022921","斯里兰卡Carnage","灵珑","4000","件","2026-08-06","active","https://order.qimoactivewear.com/orders/fe578822-a157-4ff2-8235-93764e678bbb"
"P2-历史单(功能上线前)","2026-06","QM-20260605-002","1022918","巴拿马","小英","8640","件","2026-07-28","completed","https://order.qimoactivewear.com/orders/78377c5f-2498-4779-bbc7-fb07b7226dac"
"P2-历史单(功能上线前)","2026-05","QM-20260522-008","1022904","EHL","菁菁","1404","件","2026-07-10","active","https://order.qimoactivewear.com/orders/3bd72116-f56f-42ea-a6c1-1ee5e47a140e"
"P2-历史单(功能上线前)","2026-05","QM-20260522-006","1022903","EHL","菁菁","2160","件","2026-07-10","active","https://order.qimoactivewear.com/orders/8b7b3df4-f867-48bb-bebb-ee6ed1c2705c"
"P2-历史单(功能上线前)","2026-05","QM-20260522-004","1022902","EHL","菁菁","2160","件","2026-07-10","active","https://order.qimoactivewear.com/orders/867a692f-7c5f-4c77-9099-b223223ffc03"
"P2-历史单(功能上线前)","2026-05","QM-20260522-002","1022896","EHL","菁菁","2880","件","2026-07-10","completed","https://order.qimoactivewear.com/orders/9895ac8c-4c20-499c-92dc-283fbd54fec8"
"P2-历史单(功能上线前)","2026-05","QM-20260522-001","1022895","EHL","菁菁","2880","件","2026-07-10","completed","https://order.qimoactivewear.com/orders/8e099722-3438-48ef-a16c-fb5035b134a2"
"P2-历史单(功能上线前)","2026-05","QM-20260521-001","1022894","EHL","菁菁","1080","件","2026-07-05","completed","https://order.qimoactivewear.com/orders/31eb4bc5-e458-4c64-8e5e-bcb17d0239c8"
"P2-历史单(功能上线前)","2026-05","QM-20260520-008","1022886","EHL","菁菁","900","件","2026-06-25","active","https://order.qimoactivewear.com/orders/92562386-a106-4c94-833d-4e8b01bc9ef5"
"P2-历史单(功能上线前)","2026-05","QM-20260520-007","1022875","EHL","菁菁","1680","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/f3f2a886-f2c2-42d7-9a1f-427807a59f70"
"P2-历史单(功能上线前)","2026-05","QM-20260520-004","1022874","EHL","菁菁","1680","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/3185899e-fbc0-441b-a462-bf9941df00a9"
"P2-历史单(功能上线前)","2026-05","QM-20260520-003","1022873","EHL","菁菁","1680","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/b0a313da-4bcb-4c22-a951-5caf2a164d32"
"P2-历史单(功能上线前)","2026-05","QM-20260520-001","1022872","EHL","菁菁","1440","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/6641f80f-40bc-4086-8247-75c45a927347"
"P2-历史单(功能上线前)","2026-05","QM-20260519-022","1022871","EHL","菁菁","1440","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/6ab13b3d-aedc-4deb-8997-be564f32a3b8"
"P2-历史单(功能上线前)","2026-05","QM-20260519-020","1022870","EHL","菁菁","900","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/54b7bdbc-ed68-462c-b61e-610bc8fd94a8"
"P2-历史单(功能上线前)","2026-05","QM-20260519-018","1022869","EHL","菁菁","900","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/31af8a07-7063-4c80-a8d1-27655a66ff1c"
"P2-历史单(功能上线前)","2026-05","QM-20260519-016","1022888","EHL","菁菁","900","件","2026-06-25","active","https://order.qimoactivewear.com/orders/55f06a51-702d-4425-81ff-1ca07c23bfc6"
"P2-历史单(功能上线前)","2026-05","QM-20260519-014","1022885","EHL","菁菁","900","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/d50e25ee-3c5a-484d-8df0-fe9c1ac96236"
"P2-历史单(功能上线前)","2026-05","QM-20260519-012","1022887","EHL","菁菁","900","件","2026-06-25","active","https://order.qimoactivewear.com/orders/ab03ec64-9608-40b1-bde0-6b3e5ed79e94"
"P2-历史单(功能上线前)","2026-05","QM-20260519-011","1022882","EHL","菁菁","528","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/f5ae85e5-c511-485c-9605-a98664ad5a21"
"P2-历史单(功能上线前)","2026-05","QM-20260519-010","1022881","EHL","菁菁","408","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/44105661-d33a-4c99-a4b3-f82c61bf9201"
"P2-历史单(功能上线前)","2026-05","QM-20260519-009","1022880","EHL","菁菁","408","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/1f688e49-d5c3-460a-8993-17796946c12b"
"P2-历史单(功能上线前)","2026-05","QM-20260519-008","1022879","EHL","菁菁","744","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/61f492cf-bce5-4026-b049-d8099ed6ea88"
"P2-历史单(功能上线前)","2026-05","QM-20260519-007","1022878","EHL","菁菁","1536","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/78dc9766-a5b5-431a-8c14-f915a25e1ae1"
"P2-历史单(功能上线前)","2026-05","QM-20260519-006","1022877","EHL","菁菁","612","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/654b6823-8f7c-4000-9d8e-0aa89828be98"
"P2-历史单(功能上线前)","2026-05","QM-20260519-005","1022876","EHL","菁菁","1284","件","2026-06-25","completed","https://order.qimoactivewear.com/orders/047a0bd7-1765-44a8-86ea-167701dce79e"
"P2-历史单(功能上线前)","2026-05","QM-20260519-003","1022890","伊彤","王海莲","4200","件","2026-06-15","completed","https://order.qimoactivewear.com/orders/6cbfd8e6-6903-4c47-a850-47d1dffde2f9"
"P2-历史单(功能上线前)","2026-05","QM-20260518-025","RK7.10.26","USA","Winnie","45260","件","2026-07-10","completed","https://order.qimoactivewear.com/orders/df4e65cc-41a5-4f02-ba2b-7f1453962f79"
"P2-历史单(功能上线前)","2026-05","QM-20260518-016","545","rag","Winnie","81840","件","2026-07-24","completed","https://order.qimoactivewear.com/orders/3c09ae90-750b-4e01-b890-b8e8dd3f8e46"
"P2-历史单(功能上线前)","2026-05","QM-20260518-015","544B","rag","Winnie","6720","套","2026-06-20","completed","https://order.qimoactivewear.com/orders/c0dd4e7e-0b75-41be-b25f-7dc4537492d2"
"P2-历史单(功能上线前)","2026-05","QM-20260518-014","544","rag","Winnie","18239","件","2026-06-20","completed","https://order.qimoactivewear.com/orders/fd9471dc-ba5f-4098-82dc-e4907f0bbc43"
"P2-历史单(功能上线前)","2026-05","QM-20260518-013","542","rag","Winnie","62208","套","2026-06-15","completed","https://order.qimoactivewear.com/orders/07169f6a-4f66-47ec-98a1-2c86b80cbbd2"
"P2-历史单(功能上线前)","2026-05","QM-20260518-012","543B","rag","Winnie","10368","套","2026-06-10","completed","https://order.qimoactivewear.com/orders/83baff7a-57ec-4d1e-b451-fe4081e9bbb0"
"P2-历史单(功能上线前)","2026-05","QM-20260518-011","543","rag","Winnie","7776","件","2026-06-10","completed","https://order.qimoactivewear.com/orders/932ab227-1a94-4a6b-be55-9456c8c19467"
"P2-历史单(功能上线前)","2026-05","QM-20260518-009","527","rag","Winnie","9720","件","2026-06-10","completed","https://order.qimoactivewear.com/orders/018e1dda-0b66-49bd-9858-04ffb25c5cac"
"P2-历史单(功能上线前)","2026-05","QM-20260518-008","540","rag","Winnie","26304","件","2026-08-21","active","https://order.qimoactivewear.com/orders/1faa44da-6da2-4039-9f63-e3e884ca543e"
"P2-历史单(功能上线前)","2026-05","QM-20260518-007","539订单","rag","Winnie","93312","件","2026-06-01","completed","https://order.qimoactivewear.com/orders/30ade35c-e1a6-4848-bfe4-95f74a7797f9"
"P2-历史单(功能上线前)","2026-05","QM-20260518-001","1022889","伊彤","王海莲","4800","件","2026-06-15","completed","https://order.qimoactivewear.com/orders/d928d54f-9361-48d7-81aa-352a6fcfc6a5"
"P2-历史单(功能上线前)","2026-05","QM-20260516-011","1022866","EHL","菁菁","2420","件","2026-07-23","completed","https://order.qimoactivewear.com/orders/0bf5e4bc-ac84-467a-be94-99b40c1477c2"
"P2-历史单(功能上线前)","2026-05","QM-20260516-010","1022865","EHL","菁菁","2425","件","2026-07-23","completed","https://order.qimoactivewear.com/orders/7ec1d5ed-0670-4262-bda4-a1115068cce3"
"P2-历史单(功能上线前)","2026-05","QM-20260516-009","1022863","EHL","菁菁","2400","套","2026-06-25","completed","https://order.qimoactivewear.com/orders/b47530c0-f061-4051-8711-45315e85a3ce"
"P2-历史单(功能上线前)","2026-05","QM-20260516-007","1022901","S2","欧璐","35280","件","2026-08-01","active","https://order.qimoactivewear.com/orders/d9bdb97a-6f88-444f-8440-215e35dedc2f"
"P2-历史单(功能上线前)","2026-05","QM-20260516-006","1022900","S2","欧璐","11400","件","2026-09-01","active","https://order.qimoactivewear.com/orders/f79d2a02-132f-4d21-8b07-1289d1ea9305"
"P2-历史单(功能上线前)","2026-05","QM-20260516-005","1022899","S2","欧璐","28616","件","2026-09-15","active","https://order.qimoactivewear.com/orders/56783178-8ac1-4b9e-a0a1-e3f847316cf5"
"P2-历史单(功能上线前)","2026-05","QM-20260516-004","1022898","S2","欧璐","38360","件","2026-07-15","active","https://order.qimoactivewear.com/orders/6c4df2f6-5337-429f-9b4b-269a9fe91fc6"
"P2-历史单(功能上线前)","2026-05","QM-20260516-003","1022897","DDS","陈陈","12000","套","2026-09-26","active","https://order.qimoactivewear.com/orders/c5db9bb2-4aeb-4c2c-889a-1317568c1a82"
"P2-历史单(功能上线前)","2026-05","QM-20260516-002","1022864","宁波巴拿马","铭文-Grace","3246","件","2026-07-15","active","https://order.qimoactivewear.com/orders/289a7797-bbc4-4ad7-9f79-2ffdb21e84d5"
"P2-历史单(功能上线前)","2026-04","QM-20260427-001","1022862订单","sunny","陈陈","3500","件","2026-06-05","completed","https://order.qimoactivewear.com/orders/dc751764-7f3b-4c9d-84a4-2e6d26e5a8cf"
"P2-历史单(功能上线前)","2026-04","QM-20260418-011","PO3301964","S2","欧璐","1860","件","2026-04-07","completed","https://order.qimoactivewear.com/orders/d7a5513c-7907-4322-bee0-8ead3f69e1aa"
"P2-历史单(功能上线前)","2026-04","QM-20260418-010","PO3301961","S2","欧璐","25600","件","2026-03-20","completed","https://order.qimoactivewear.com/orders/84ebbf92-ddec-4b0e-8ee4-8632ed474648"
"P2-历史单(功能上线前)","2026-04","QM-20260418-009","510","rag","欧璐","48720","套","2026-04-05","completed","https://order.qimoactivewear.com/orders/e1cbadc1-f34f-4463-88b1-c9fdaba75577"
"P2-历史单(功能上线前)","2026-04","QM-20260418-008","485B-1","rag","欧璐","1440","件","2026-06-06","completed","https://order.qimoactivewear.com/orders/e55b62f3-4384-48bd-bb61-3667d9347a5c"
"P2-历史单(功能上线前)","2026-04","QM-20260418-007","485B","rag","欧璐","12000","件","2026-06-06","completed","https://order.qimoactivewear.com/orders/ccdec302-2fca-48d6-8b6f-2ef0974929dc"
"P2-历史单(功能上线前)","2026-04","QM-20260418-005","485-1","rag","欧璐","41520","件","2026-04-30","completed","https://order.qimoactivewear.com/orders/e9c27c02-7edf-4510-89ad-f8a65fa61372"
"P2-历史单(功能上线前)","2026-04","QM-20260418-004","485","rag","欧璐","28800","件","2026-02-08","completed","https://order.qimoactivewear.com/orders/853518f2-f3f2-42ea-870a-5b9a39b3f968"
"P2-历史单(功能上线前)","2026-04","QM-20260418-003","466B","rag","欧璐","15840","套","2026-03-25","completed","https://order.qimoactivewear.com/orders/30eef486-d0d5-42ce-9e47-ef30e21a8028"
"P2-历史单(功能上线前)","2026-04","QM-20260418-002","443B","rag","欧璐","13824","套","2026-06-06","active","https://order.qimoactivewear.com/orders/a0440ac9-6449-46d9-b953-c451254e0260"
"P2-历史单(功能上线前)","2026-04","QM-20260418-001","NO.1022638-A","Temu","王一凡","2160","件","2026-05-18","completed","https://order.qimoactivewear.com/orders/05db7997-3119-4b3f-8af3-5a418f085b37"
"P2-历史单(功能上线前)","2026-04","QM-20260414-003","1022817","巴拿马","小英","11880","件","2026-05-05","completed","https://order.qimoactivewear.com/orders/b25b8a8b-7b93-41e8-86e7-f4f3e47f099d"
"P2-历史单(功能上线前)","2026-04","QM-20260414-002","1022801","巴拿马","小英","2304","件","2026-03-30","completed","https://order.qimoactivewear.com/orders/2dadc4e7-af4b-464b-8c01-d697659c6098"
"P2-历史单(功能上线前)","2026-04","QM-20260411-003","1022818","年年旺","陈陈","9600","件","2026-04-04","completed","https://order.qimoactivewear.com/orders/d3a0c773-b846-40ea-bb67-ba582a0f3b41"
"P2-历史单(功能上线前)","2026-04","QM-20260411-002","1022813","年年旺","陈陈","14760","套","2026-04-03","completed","https://order.qimoactivewear.com/orders/71bb4cf1-d992-4a88-84fc-7316f73aa5be"
"P2-历史单(功能上线前)","2026-04","QM-20260411-001","1022829","EHL","Vivi","2880","件","2026-05-10","completed","https://order.qimoactivewear.com/orders/721e49bc-e480-41e2-974f-ec1750d2d1cb"
"P2-历史单(功能上线前)","2026-04","QM-20260410-002","1022839","EHL","Vivi","300","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/6ef96af8-f0c6-4d31-a6d9-6a6b24de60c3"
"P2-历史单(功能上线前)","2026-04","QM-20260409-005","1022847","EHL","Vivi","216","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/d6b6186f-91b6-4e7f-9f6f-8ef74be7cbf8"
"P2-历史单(功能上线前)","2026-04","QM-20260409-004","1022846","EHL","Vivi","864","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/2300b5dc-29ce-43fe-aa79-d4aeaaf1dae5"
"P2-历史单(功能上线前)","2026-04","QM-20260409-003","1022845","EHL","Vivi","1200","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/e1c46316-3162-4da9-a8b9-f6508fa12975"
"P2-历史单(功能上线前)","2026-04","QM-20260409-002","1022851","年年旺","陈陈","3000","套","2026-05-16","completed","https://order.qimoactivewear.com/orders/4353c5e5-347f-4da6-be0e-24c9c313fa58"
"P2-历史单(功能上线前)","2026-04","QM-20260408-004","1022853","杭州杨小姐","陈陈","2620","件","2026-05-15","completed","https://order.qimoactivewear.com/orders/caca2d65-b869-46fb-96b3-84e9ca86c43f"
"P2-历史单(功能上线前)","2026-04","QM-20260408-003","1022852","年年旺","陈陈","9000","套","2026-05-19","completed","https://order.qimoactivewear.com/orders/af7eeae3-fdce-42c6-ad54-7aeeb099981a"
"P2-历史单(功能上线前)","2026-04","QM-20260406-009","1022825","PITCH","Winnie","3200","件","2026-04-30","completed","https://order.qimoactivewear.com/orders/c2e2c18a-4627-4aef-9116-270f14809e15"
"P2-历史单(功能上线前)","2026-04","QM-20260406-008","RK4.10.26","USA","Winnie","45235","件","2026-04-25","completed","https://order.qimoactivewear.com/orders/e68eb2d2-26ae-443e-9298-7c342cbc95e1"
"P2-历史单(功能上线前)","2026-04","QM-20260406-006","1022849订单","杭州秀儿","王海莲","6960","件","2026-05-15","completed","https://order.qimoactivewear.com/orders/368678f2-23d9-4af9-846d-0eeb286c8fe2"
"P2-历史单(功能上线前)","2026-04","QM-20260406-004","1022848","Habib","陈陈","2400","件","2026-05-07","completed","https://order.qimoactivewear.com/orders/81b9593f-d1bc-4aae-8867-76f8b6f73e1b"
"P2-历史单(功能上线前)","2026-04","QM-20260406-003","1022830","杭州杨小姐","陈陈","2000","件","2026-04-15","completed","https://order.qimoactivewear.com/orders/ed9d27c3-d2d8-45de-acb6-aa66ae89bae6"
"P2-历史单(功能上线前)","2026-04","QM-20260406-001","1022838","Lit26","Vivi","32400","件","2026-06-15","completed","https://order.qimoactivewear.com/orders/ac1d5f0a-3135-4722-b061-32694413cc22"
"P2-历史单(功能上线前)","2026-04","QM-20260403-037","529","rag","Winnie","41952","件","2026-05-10","completed","https://order.qimoactivewear.com/orders/dddcb00b-5e93-40ab-8361-75b340f9c98c"
"P2-历史单(功能上线前)","2026-04","QM-20260403-036","524","rag","Winnie","76800","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/c1dea5b1-ebe2-479f-8d74-35d2ba1f4eb7"
"P2-历史单(功能上线前)","2026-04","QM-20260403-035","538","rag","Winnie","72336","件","2026-05-10","completed","https://order.qimoactivewear.com/orders/b44c9abb-0972-45f3-8124-7f97de198a70"
"P2-历史单(功能上线前)","2026-04","QM-20260403-033","1022844","伊彤","王海莲","4800","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/df451198-c1f6-4a7c-8dca-33cb50b179e6"
"P2-历史单(功能上线前)","2026-04","QM-20260403-034","531","rag","Winnie","27360","件","2026-05-10","completed","https://order.qimoactivewear.com/orders/4a2e98a5-b0a4-4b3f-9f85-08e49802c443"
"P2-历史单(功能上线前)","2026-04","QM-20260403-031","1022843","伊彤","王海莲","6720","套","2026-05-10","completed","https://order.qimoactivewear.com/orders/ca3df7c5-7299-4a08-ac83-778f9a13f70f"
"P2-历史单(功能上线前)","2026-04","QM-20260403-032","537","rag","Winnie","12960","件","2026-05-20","completed","https://order.qimoactivewear.com/orders/4ed9ade0-05bb-4f33-b898-a20c9d34a081"
"P2-历史单(功能上线前)","2026-04","QM-20260403-030","512B","rag","Winnie","26304","套","2026-05-01","completed","https://order.qimoactivewear.com/orders/db7bc089-0f01-4b75-806c-3c3f8f9af66d"
"P2-历史单(功能上线前)","2026-04","QM-20260403-028","1022842","伊彤","王海莲","28320","套","2026-05-25","completed","https://order.qimoactivewear.com/orders/42525b3c-8e46-4df5-a287-1806c9137fa6"
"P2-历史单(功能上线前)","2026-04","QM-20260403-029","512","rag","Winnie","46032","套","2026-05-01","completed","https://order.qimoactivewear.com/orders/a80c1c32-e6e1-40f1-892d-c9b5f8cbda79"
"P2-历史单(功能上线前)","2026-04","QM-20260403-027","491","rag","Winnie","24000","件","2026-05-01","completed","https://order.qimoactivewear.com/orders/866259fd-7062-4faf-8fda-235d00c06351"
"P2-历史单(功能上线前)","2026-04","QM-20260403-023","1022841","伊彤","王海莲","600","件","2026-05-10","completed","https://order.qimoactivewear.com/orders/f9d5f1a2-70cb-4d4d-b725-923367b8cbd1"
"P2-历史单(功能上线前)","2026-04","QM-20260403-025","519-2","rag","欧璐","18000","套","2026-05-10","completed","https://order.qimoactivewear.com/orders/1532eb39-72ac-48ba-b836-e7b93fd4c107"
"P2-历史单(功能上线前)","2026-04","QM-20260403-026","534B","rag","Winnie","6720","套","2026-04-25","completed","https://order.qimoactivewear.com/orders/1d91cc84-9c5a-4a80-b256-af9be82ebac2"
"P2-历史单(功能上线前)","2026-04","QM-20260403-024","519-1","rag","欧璐","31200","套","2026-04-20","completed","https://order.qimoactivewear.com/orders/f77e9184-8727-42f2-a05e-af86a86e06ef"
"P2-历史单(功能上线前)","2026-04","QM-20260403-022","515-2","rag","欧璐","23040","套","2026-05-10","completed","https://order.qimoactivewear.com/orders/2e41c996-1c48-4c98-b31d-406f6bf3e297"
"P2-历史单(功能上线前)","2026-04","QM-20260403-021","515-1","rag","欧璐","22080","套","2026-04-20","completed","https://order.qimoactivewear.com/orders/434e2b54-2744-4fa5-a0d5-854426271755"
"P2-历史单(功能上线前)","2026-04","QM-20260403-019","1022831","伊彤","王海莲","6600","件","2026-05-10","completed","https://order.qimoactivewear.com/orders/25d176f4-576d-41ec-b831-81d7760cdf3e"
"P2-历史单(功能上线前)","2026-04","QM-20260403-020","1022763","宁波巴拿马","欧璐","5024","件","2026-05-10","completed","https://order.qimoactivewear.com/orders/2328bfe6-f177-4569-857c-65b57f101fe7"
"P2-历史单(功能上线前)","2026-04","QM-20260403-018","PO3301978-2","S2","欧璐","36000","件","2026-08-01","active","https://order.qimoactivewear.com/orders/dfa5174f-d596-425f-8413-c98d25b85ae9"
"P2-历史单(功能上线前)","2026-04","QM-20260403-015","1022836订单","AP","王海莲","1800","件","2026-05-15","completed","https://order.qimoactivewear.com/orders/7c0bf24b-44f1-4d85-b13f-2b11984cdd80"
"P2-历史单(功能上线前)","2026-04","QM-20260403-017","PO3301978-1","S2","欧璐","36000","件","2026-07-01","completed","https://order.qimoactivewear.com/orders/1e1b1934-2e96-479c-9152-26fbc2b5db64"
"P2-历史单(功能上线前)","2026-04","QM-20260403-016","518","rag","欧璐","1440","件","2026-04-20","completed","https://order.qimoactivewear.com/orders/d9c5489d-1f15-48dd-85d1-53709deaaab8"
"P2-历史单(功能上线前)","2026-04","QM-20260403-014","503","rag","欧璐","10992","件","2026-05-05","completed","https://order.qimoactivewear.com/orders/58d39bfc-6439-4967-b25a-113f63214aa9"
"P2-历史单(功能上线前)","2026-04","QM-20260403-012","1022833","年年旺","陈陈","13560","套","2026-04-30","completed","https://order.qimoactivewear.com/orders/cbc957c0-9bce-4ff2-ae15-cca1d48b4c73"
"P2-历史单(功能上线前)","2026-04","QM-20260403-011","1022832","年年旺","陈陈","14400","套","2026-04-30","completed","https://order.qimoactivewear.com/orders/3739b5cd-2b76-4791-8a57-637bab1c6b81"
"P2-历史单(功能上线前)","2026-04","QM-20260403-010","1022826","年年旺","陈陈","3000","套","2026-04-16","completed","https://order.qimoactivewear.com/orders/4a36d0bf-15ab-4593-b855-50fcc18f0a40"
"P2-历史单(功能上线前)","2026-04","QM-20260403-007","1022839","EHL","Vivi","300","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/908ca6c3-4d2b-490b-8fc8-feeda4af3d40"
"P2-历史单(功能上线前)","2026-04","QM-20260403-006","1022839","EHL","Vivi","1368","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/d6564f9c-019c-4809-86a5-cb76c1441e17"
"P2-历史单(功能上线前)","2026-04","QM-20260403-005","1022839","EHL","Vivi","1368","件","2026-05-25","completed","https://order.qimoactivewear.com/orders/28681f85-8340-4eb4-8eb3-5fe0ccc4cec2"
"P2-历史单(功能上线前)","2026-04","QM-20260403-004","534","rag","Winnie","28560","件","2026-04-25","completed","https://order.qimoactivewear.com/orders/d629349b-0002-4e63-b140-18d8f7ed2212"
"P2-历史单(功能上线前)","2026-04","QM-20260403-003","533B","rag","Winnie","28704","套","2026-04-25","completed","https://order.qimoactivewear.com/orders/c14e1ff6-7d50-4354-88e0-441793b15e69"
"P2-历史单(功能上线前)","2026-04","QM-20260403-002","533","rag","Winnie","22032","件","2026-04-25","completed","https://order.qimoactivewear.com/orders/9a37f697-774e-4e1d-9c4d-c0b542e952fa"
"P2-历史单(功能上线前)","2026-04","QM-20260402-010","523","rag","欧璐","18144","件","2026-10-27","active","https://order.qimoactivewear.com/orders/e6806be2-fa22-4913-a6fc-51f205f6ade7"
"P2-历史单(功能上线前)","2026-04","QM-20260402-009","522","rag","欧璐","17664","件","2026-10-27","active","https://order.qimoactivewear.com/orders/107e0f29-5882-4e1f-ab73-a77476c97b19"
"P2-历史单(功能上线前)","2026-04","QM-20260402-008","503B","rag","欧璐","9600","件","2026-05-05","completed","https://order.qimoactivewear.com/orders/07d3b025-ea0e-4ed1-b2d1-f879e1a0dd7c"
"P2-历史单(功能上线前)","2026-04","QM-20260402-003","511B","rag","欧璐","19728","套","2026-05-05","completed","https://order.qimoactivewear.com/orders/92d4d73d-8e49-4989-ba3a-f872e329890d"
"P2-历史单(功能上线前)","2026-04","QM-20260402-002","511","rag","欧璐","30288","套","2026-04-05","completed","https://order.qimoactivewear.com/orders/da653504-4e95-4816-b68d-cb3f357fad29"
"P2-历史单(功能上线前)","2026-04","QM-20260402-001","510B","rag","欧璐","13152","套","2026-04-05","completed","https://order.qimoactivewear.com/orders/700bc75a-2126-4171-a5c5-001008ae6e73"
